Wavelength (nm), scalar, vector, tensor
434.4,1786.2337747245426,-1466.6634239159223,287.39501433516654
434.5,1774.932257898917,-1454.0485813803277,286.06856492200103
434.6,1763.779046264351,-1441.6552674844393,284.75659608761384
434.7,1752.7710318125305,-1429.4784647619701,283.4590660192858
434.8,1741.9051920130344,-1417.5133086999692,282.17592840492637
434.9,1731.178586820222,-1405.7550821425932,280.90713282497916
435.0,1720.5883558051362,-1394.1992099399713,279.6526251194742
435.1,1710.131715406159,-1382.8412538297125,278.41234773184135
435.2,1699.8059562927315,-1371.6769075395878,277.1862400310099
435.3,1689.6084408366667,-1360.701992100383,275.97423861320095
435.4,1679.5366006858642,-1349.9124513586812,274.7762775847307
435.5,1669.5879344355549,-1339.3043476796868,273.5922888270486
435.6,1659.7600053925719,-1328.8738578311356,272.4222022451705
435.7,1650.050439428126,-1318.6172690393353,271.2659460005553
435.8,1640.456922915037,-1308.5309752092444,270.12344672943635
435.9,1630.9772007455583,-1298.6114733008503,268.9946297475419
436.0,1621.60907442592,-1288.8553598543003,267.8794192420659
436.1,1612.350400244412,-1279.2593276571884,266.7777384517256
436.2,1603.1990875092235,-1269.8201625469387,265.6895098356364
436.3,1594.1530968532193,-1260.5347403423618,264.61465523173956
436.4,1585.210438602652,-1251.4000238985009,263.55309600546036
436.5,1576.3691712066973,-1242.4130602788823,262.5047531891852
436.6,1567.6273997254268,-1233.570978040151,261.4695476131854
436.7,1558.9832743734357,-1224.8709846238528,260.4474000284973
436.8,1550.434989116786,-1216.310363850757,259.43823122231174
436.9,1541.9807803209637,-1207.8864735130123,258.44196212632386
437.0,1533.6189254474987,-1199.5967430599087,257.4585139185055
437.1,1525.347741797419,-1191.4386713732986,256.48780811874275
437.2,1517.1655852992697,-1183.4098246285257,255.52976667871079
437.3,1509.0708493399022,-1175.5078342373374,254.58431206636908
437.4,1501.0619636363517,-1167.7303948693745,253.65136734544785
437.5,1493.1373931468058,-1160.0752625486366,252.73085625022665
437.6,1485.2956370193601,-1152.5402528220955,251.82270325594632
437.7,1477.5352275766375,-1145.1232389971015,250.92683364511666
437.8,1469.8547293350482,-1137.8221504450053,250.04317357002506
437.9,1462.252738057186,-1130.6349709681388,249.17165011169095
438.0,1454.7278798359355,-1123.559737227581,248.31219133550886
438.1,1447.2788102090717,-1116.594537229232,247.46472634382084
438.2,1439.9042133030923,-1109.7375088659169,246.62918532562986
438.3,1432.602801005048,-1102.9868385131606,245.8054996036601
438.4,1425.3733121613882,-1096.3407596766995,244.99360167896867
438.5,1418.2145118024705,-1089.7975516894244,244.19342527326845
438.6,1411.1251903920174,-1083.3555384561325,243.40490536917264
438.7,1404.104163100337,-1077.0130872440436,242.62797824849497
438.8,1397.1502691002818,-1070.7686075173194,241.86258152876547
438.9,1390.2623708853705,-1064.6205498141157,241.10865419813862
439.0,1383.4393536087828,-1058.5674046643117,240.36613664879206
439.1,1376.680124442775,-1052.6077015466374,239.63497070898927
439.2,1369.9836119574072,-1046.740007883554,238.91509967390147
439.3,1363.348765518025,-1040.9629280726253,238.20646833533314
439.4,1356.7745547007135,-1035.2751025530865,237.50902301046025
439.5,1350.259968724942,-1029.6752069062393,236.8227115696816
439.6,1343.8040159028296,-1024.161950988599,236.14748346370922
439.7,1337.4057231042868,-1018.7340780965675,235.48328974997833
439.8,1331.0641352374782,-1013.3903641615982,234.83008311848883
439.9,1324.778314744027,-1008.1296169748575,234.18781791717035
440.0,1318.5473411082253,-1002.9506754402234,233.55645017684984
440.1,1312.3703103799342,-997.8524088549407,232.93593763592656
440.2,1306.2463347104256,-992.8337162168115,232.3262397648211
440.3,1300.1745419007848,-987.8935255572029,231.72731779029488
440.4,1294.1540749622993,-983.0307932990125,231.1391347197085
440.5,1288.1840916883966,-978.2445036388149,230.56165536530276
440.6,1282.2637642376676,-973.533667952508,229.99484636857613
440.7,1276.3922787275196,-968.8973242237154,229.43867622483168
440.8,1270.5688348379554,-964.3345364942462,228.89311530796053
440.9,1264.7926454252379,-959.8443943361231,228.35813589555184
441.0,1259.0629361448484,-955.4260123444378,227.83371219437294
441.1,1253.3789450834522,-951.0785296505529,227.31982036631138
441.2,1247.7399223994466,-946.8011094550775,226.81643855483495
441.3,1242.1451299717792,-942.5929385801709,226.32354691204665
441.4,1236.59384105657,-938.4532270406123,225.8411276263939
441.5,1231.085339951333,-934.3812076332874,225.36916495111237
441.6,1225.6189216663251,-930.3761355446011,224.90764523345996
441.7,1220.193891602781,-926.4372879754525,224.45655694482514
441.8,1214.809565237646,-922.5639637834015,224.0158907117622
441.9,1209.4652678145608,-918.7554831417028,223.58563934804138
442.0,1204.1603340407216,-915.0111872148377,223.16579788777173
442.1,1198.8941077893667,-911.3304378503356,222.75636361968313
442.2,1193.6659418075506,-907.7126172865263,222.3573361226251
442.3,1188.4751974289325,-904.1571278760437,221.96871730237604
442.4,1183.321244291336,-900.6633918248374,221.5905114298315
442.5,1178.203460058696,-897.2308509464904,221.22272518065154
442.6,1173.1212301472196,-893.8589664316592,220.86536767645052
442.7,1168.073947455402,-890.547218632517,220.51845052762255
442.8,1163.0610120976992,-887.2951068620424,220.18198787787415
442.9,1158.0818311415114,-884.1021492080567,219.85599645057525
443.0,1153.1358183472732,-880.9678823619248,219.54049559700573
443.1,1148.2223939113073,-877.8918614618626,219.23550734660262
443.2,1143.3409842112846,-874.8736599508414,218.94105645932305
443.3,1138.4910215538835,-871.9128694490206,218.65717048020198
443.4,1133.671943924482,-869.0090996407772,218.38387979624142
443.5,1128.8831947385718,-866.16197817635,218.12121769573938
443.6,1124.1242225946096,-863.3711505881702,217.86922043017532
443.7,1119.3944810280643,-860.6362802219531,217.62792727878903
443.8,1114.693428266336,-857.9570481826996,217.39738061598138
443.9,1110.0205269842932,-855.3331532957377,217.17762598168372
444.0,1105.375244060104,-852.7643120829661,216.96871215483608
444.1,1100.757050331137,-850.2502587545623,216.7706912301455
444.2,1096.1654203495186,-847.7907452163333,216.5836186982736
444.3,1091.5998321371344,-845.3855410930244,216.40755352964078
444.4,1087.0597669397043,-843.0344337678865,216.24255826202722
444.5,1082.5447089795862,-840.7372284388325,216.08869909216418
444.6,1078.0541452070615,-838.493748191621,215.9460459715297
444.7,1073.5875650495914,-836.3038340904251,215.81467270656165
444.8,1069.1444601588244,-834.1673452863129,215.69465706352398
444.9,1064.7243241549138,-832.0841591441639,215.5860808782803
445.0,1060.3266523677128,-830.0541713885427,215.48903017122862
445.1,1055.950941574512,-828.0772962692349,215.403595267689
445.2,1051.5966897337937,-826.1534667470418,215.32987092403704
445.3,1047.2633957146072,-824.2826347006574,215.26795645990848
445.4,1042.950559021078,-822.4647711554162,215.2179558968169
445.5,1038.6576795114838,-820.69986653477,215.1799781035479
445.6,1034.3842571114485,-818.9879309355301,215.15413694873126
445.7,1030.1297915206044,-817.3289944278539,215.14055146100355
445.8,1025.8937819121616,-815.7231073811867,215.13934599722066
445.9,1021.6757266247159,-814.1703408173668,215.15065041920514
